設定收費區代碼,緯度,經度
03F0698N,24.856558,121.208581
03F0698S,24.856558,121.208581
03F0746N,24.816364,121.200339
03F0746S,24.816364,121.200339
03F0783N,24.797339,121.179128
03F0783S,24.797339,121.179128
03F0846N,24.791439,121.125997
03F0846S,24.791439,121.125997
03F0961N,24.758442,121.030425
03F0961S,24.758442,121.030425
03F0996N,24.755811,120.997269
03F0996S,24.755811,120.997269
03F1022N,24.757914,120.972267
03F1022S,24.757914,120.972267
03F1051N,24.753094,120.945675
03F1051S,24.753094,120.945675
03F1128N,24.711383,120.889639
03F1128S,24.711383,120.889639
03F1161N,24.698006,120.860086
03F1161S,24.698006,120.860086
03F1215N,24.655964,120.838242
03F1215S,24.655964,120.838242
03F1257N,24.627161,120.814006
03F1257S,24.627161,120.814006
03F1332N,24.579642,120.764417
03F1332S,24.579642,120.764417
03F1395N,24.531125,120.733253
03F1395S,24.531125,120.733253
03F1485N,24.467308,120.681217
03F1485S,24.467308,120.681217
03F1633N,24.341119,120.651567
03F1633S,24.341119,120.651567
03F1651N,24.334719,120.635578
03F1651S,24.334719,120.635578
03F1710N,24.292881,120.601964
03F1710S,24.292881,120.601964
03F1739N,24.269464,120.590806
03F1739S,24.269464,120.590806
03F1779N,24.234647,120.593306
03F1779S,24.234647,120.593306
03F1860N,24.177831,120.548244
03F1860S,24.177831,120.548244
03F1941N,24.120947,120.534547
03F1944S,24.119011,120.536692
03F1991S,24.102808,120.577661
03F1992N,24.102525,120.578747
03F2066N,24.070333,120.639711
03F2066S,24.070333,120.639711
03F2078N,24.067958,120.651433
03F2079S,24.067778,120.652361
03F2100N,24.060428,120.671533
03F2100S,24.060653,120.670964
03F2125N,24.040994,120.677853
03F2129S,24.037419,120.675925
03F2152S,24.019992,120.663222
03F2153N,24.018944,120.663161
03F2194N,23.985844,120.652714
03F2194S,23.985844,120.652714
03F2231N,23.957103,120.657614
03F2235S,23.955503,120.661267
03F2260N,23.937928,120.676853
03F2261S,23.9376,120.677039
03F2306N,23.906781,120.702828
03F2306S,23.906781,120.702828
03F2336N,23.882031,120.709186
03F2336S,23.882031,120.709186
03F2415N,23.814836,120.700003
03F2415S,23.814836,120.700003
03F2447N,23.787486,120.704519
03F2447S,23.787486,120.704519
03F2535N,23.775581,120.6259
03F2535S,23.775581,120.6259
03F2614N,23.724425,120.601786
03F2614S,23.724425,120.601786
03F2709N,23.649278,120.572911
03F2709S,23.649142,120.57295
03F2747N,23.618203,120.558567
03F2747S,23.618203,120.558567
03F2777N,23.606792,120.532511
03F2777S,23.606792,120.532511
03F2840N,23.558125,120.505061
03F2840S,23.558125,120.505061
03F2899N,23.511683,120.486328
03F2899S,23.511683,120.486328
03F2923N,23.492078,120.494586
03F2923S,23.492078,120.494586
03F2985N,23.442486,120.4812
03F2985S,23.442486,120.4812
03F3101N,23.361253,120.436356
03F3101S,23.361253,120.436356
03F3187N,23.296692,120.404164
03F3187S,23.296692,120.404164
03F3211N,23.279281,120.390253
03F3211S,23.279281,120.390253
03F3259N,23.244994,120.367378
03F3259S,23.244994,120.367378
03F3307N,23.203275,120.355461
03F3307S,23.203275,120.355461
03F3392N,23.132064,120.333711
03F3392S,23.132064,120.333711
03F3445N,23.085272,120.329033
03F3445S,23.085272,120.329033
03F3496N,23.040203,120.325172
